id_venda,data_venda,produto,quantidade,preco_unitario,forma_pagamento,nome_cliente,cpf_cliente,vendedor,valor_total,mes,mes_nome,dia_semana
325,2023-11-02,Short Jeans 40,1,75.97,Dinheiro,Juliana Rocha,413.953.767-24,Carlos Souza,75.97,11,November,Thursday
250,2023-04-22,Blusa de Frio G,1,98.15,Dinheiro,Amanda Cavalcante,754.330.365-41,Não identificado,98.15,4,April,Saturday
471,2023-01-11,Sandália Rasteira 36,1,61.23,Cartão de Débito,Andre Rodrigues,939.909.169-98,Não identificado,61.23,1,January,Wednesday
10,2023-01-08,Tênis Casual 38,2,154.46,Cartão de Débito,Jair Andrade,877.694.531-47,Roberto Dias,308.92,1,January,Sunday
483,2023-03-30,Sandália Rasteira 36,2,43.05,Cartão de Crédito,Fernanda Lima,255.341.928-32,Ana Lima,86.1,3,March,Thursday
54,2023-08-20,Camiseta Básica M,4,49.9,Pix,Rafael Mendes,764.835.030-56,Não identificado,199.6,8,August,Sunday
169,2023-02-28,Tênis Casual 38,2,48.55,Cartão de Crédito,Mauricio Sampaio,773.872.148-95,Carlos Souza,97.1,2,February,Tuesday
103,2023-11-02,Blusa de Frio G,1,96.57,Cartão de Crédito,Paulo Correia,164.005.242-78,Não identificado,96.57,11,November,Thursday
481,2023-01-19,Tênis Casual 38,1,152.64,Cartão de Débito,Rafael Mendes,764.835.030-56,Não identificado,152.64,1,January,Thursday
493,2023-12-13,Boné Aba Curva,1,37.21,Cartão de Crédito,Alexandre Pires,693.406.088-35,Roberto Dias,37.21,12,December,Wednesday
414,2023-09-26,Sandália Rasteira 36,1,47.59,Dinheiro,Lucia Ferreira,781.618.495-93,Ana Lima,47.59,9,September,Tuesday
69,2023-08-18,Sandália Rasteira 36,1,72.56,Pix,Maria Silva,104.332.181-96,Não identificado,72.56,8,August,Friday
109,2023-04-20,Calça Jeans 42,1,116.63,Cartão de Crédito,Jairo Cavalcante,436.349.578-85,Não identificado,116.63,4,April,Thursday
207,2023-06-12,Blusa de Frio G,2,87.03,Pix,Viviane Ramos,680.112.805-98,Roberto Dias,174.06,6,June,Monday
405,2023-03-19,Tênis Casual 38,1,155.5,Cartão de Débito,Wanderson Reis,727.743.487-34,Carlos Souza,155.5,3,March,Sunday
89,2023-06-05,Calça Jeans 42,3,132.39,Dinheiro,Aline Nascimento,311.656.670-10,Carlos Souza,397.16999999999996,6,June,Monday
358,2023-01-28,Camiseta Básica M,2,49.9,Dinheiro,Wanderson Reis,727.743.487-34,Fernanda Costa,99.8,1,January,Saturday
259,2023-11-21,Camiseta Básica M,1,50.25,Cartão de Débito,Maria Silva,104.332.181-96,Ana Lima,50.25,11,November,Tuesday
115,2023-12-12,Jaqueta Couro M,2,260.12,Cartão de Débito,Simone Castro,647.468.723-43,Ana Lima,520.24,12,December,Tuesday
102,2023-09-18,Short Jeans 40,1,83.57,Pix,Valdinei Faria,905.865.185-06,Fernanda Costa,83.57,9,September,Monday
141,2023-01-31,Sandália Rasteira 36,1,59.65,Cartão de Débito,Hilton Bessa,740.344.713-49,Fernanda Costa,59.65,1,January,Tuesday
473,2023-03-24,Jaqueta Couro M,1,270.4,Dinheiro,Bruno Alves,238.849.696-53,Carlos Souza,270.4,3,March,Friday
282,2023-09-25,Tênis Casual 38,2,44.95,Cartão de Crédito,Felipe Ribeiro,651.333.872-62,Carlos Souza,89.9,9,September,Monday
351,2023-11-19,Short Jeans 40,1,74.28,Cartão de Débito,Jairo Cavalcante,436.349.578-85,Carlos Souza,74.28,11,November,Sunday
153,2023-07-31,Tênis Casual 38,1,157.83,Cartão de Crédito,Camila Pereira,287.101.226-91,Carlos Souza,157.83,7,July,Monday
462,2023-10-21,Camiseta Básica M,1,50.91,Dinheiro,Rodrigo Figueiredo,563.421.607-33,Fernanda Costa,50.91,10,October,Saturday
71,2023-11-02,Short Jeans 40,1,77.18,Dinheiro,Ana Oliveira,637.940.265-42,Carlos Souza,77.18,11,November,Thursday
324,2023-03-29,Vestido Floral P,1,81.17,Cartão de Débito,Robson Salles,362.316.658-76,Fernanda Costa,81.17,3,March,Wednesday
379,2023-05-25,Tênis Casual 38,1,159.9,Cartão de Crédito,Robson Salles,362.316.658-76,Carlos Souza,159.9,5,May,Thursday
208,2023-07-28,Camiseta Básica M,1,43.32,Cartão de Débito,Jairo Cavalcante,436.349.578-85,Fernanda Costa,43.32,7,July,Friday
125,2023-12-16,Boné Aba Curva,4,34.93,Cartão de Crédito,Miriam Deus,685.574.443-13,Ana Lima,139.72,12,December,Saturday
179,2023-05-08,Calça Jeans 42,1,117.4,Dinheiro,Alexandre Pires,693.406.088-35,Roberto Dias,117.4,5,May,Monday
73,2023-01-23,Sandália Rasteira 36,2,49.73,Cartão de Débito,Glaucia Nogueira,278.895.798-68,Ana Lima,99.46,1,January,Monday
133,2023-02-10,Jaqueta Couro M,3,300.6,Cartão de Débito,Simone Castro,163.287.083-17,Não identificado,901.8000000000001,2,February,Friday
231,2023-01-26,Tênis Casual 38,1,159.9,Cartão de Débito,Terezinha Barros,777.520.471-16,Não identificado,159.9,1,January,Thursday
4,2023-02-16,Blusa de Frio G,1,94.81,Cartão de Débito,Regiane Fonseca,680.443.699-57,Roberto Dias,94.81,2,February,Thursday
37,2023-02-20,Meia Kit C/3,2,23.41,Cartão de Crédito,Patricia Nunes,957.015.430-39,Roberto Dias,46.82,2,February,Monday
91,2023-06-22,Meia Kit C/ 3,3,22.48,Cartão de Crédito,Waldemar Faustino,351.161.559-40,Não identificado,67.44,6,June,Thursday
467,2023-05-15,Calça Jeans 42,3,128.04,Pix,Neuza Lago,136.783.777-01,Ana Lima,384.12,5,May,Monday
419,2023-10-09,Tênis Casual 38,2,163.7,Cartão de Crédito,Carlos Souza,103.413.164-75,Ana Lima,327.4,10,October,Monday
160,2023-07-25,Short Jeans 40,1,79.13,Cartão de Débito,Jair Andrade,877.694.531-47,Não identificado,79.13,7,July,Tuesday
271,2023-01-05,Meia Kit C/3,1,25.54,Cartão de Crédito,Lucas Freitas,713.315.098-39,Fernanda Costa,25.54,1,January,Thursday
464,2023-03-31,Vestido Floral P,1,89.9,Cartão de Crédito,Renata Monteiro,251.354.278-49,Não identificado,89.9,3,March,Friday
81,2023-03-06,Camiseta Básica M,1,49.19,Dinheiro,Renata Monteiro,251.354.278-49,Fernanda Costa,49.19,3,March,Monday
388,2023-12-01,Jaqueta Couro M,1,299.9,Pix,Leandro Borges,262.045.053-31,Fernanda Costa,299.9,12,December,Friday
140,2023-02-08,Boné Aba Curva,1,33.99,Pix,Fernanda Lima,255.341.928-32,Roberto Dias,33.99,2,February,Wednesday
292,2023-07-18,Blusa de Frio G,2,102.27,Pix,Cristina Duarte,401.965.569-81,Carlos Souza,204.54,7,July,Tuesday
373,2023-07-10,Jaqueta Couro M,1,300.47,Cartão de Crédito,Diego Martins,669.784.801-84,Ana Lima,300.47,7,July,Monday
47,2023-06-17,Camiseta Básica M,1,47.99,Cartão de Débito,Maria Silva,104.332.181-96,Fernanda Costa,47.99,6,June,Saturday
50,2023-08-12,Short Jeans 40,1,70.6,Pix,Sueli Queiroz,714.345.581-22,Ana Lima,70.6,8,August,Saturday
175,2023-04-22,Blusa de Frio G,3,95.92,Dinheiro,Felipe Ribeiro,148.932.528-80,Fernanda Costa,287.76,4,April,Saturday
20,2023-05-02,Tênis Casual 38,1,148.57,Cartão de Crédito,Terezinha Barros,777.520.471-16,Não identificado,148.57,5,May,Tuesday
136,2023-09-20,Boné Aba Curva,2,35.54,Dinheiro,Rosane Leite,716.572.628-49,Roberto Dias,71.08,9,September,Wednesday
383,2023-09-23,Camiseta Básica M,1,48.66,Cartão de Crédito,Isabela Gomes,514.627.048-28,Não identificado,48.66,9,September,Saturday
439,2023-12-04,Jaqueta Couro M,1,286.84,Cartão de Débito,Fabio Melo,458.685.014-29,Roberto Dias,286.84,12,December,Monday
306,2023-12-13,Boné Aba Curva,3,34.25,Pix,Sergio Macedo,176.936.763-20,Não identificado,102.75,12,December,Wednesday
205,2023-02-17,Camiseta Básica M,1,43.26,Cartão de Crédito,Henrique Dias,107.991.183-84,Não identificado,43.26,2,February,Friday
475,2023-05-13,Camiseta Básica M,1,48.93,Cartão de Crédito,Lucia Ferreira,777.520.471-16,Ana Lima,48.93,5,May,Saturday
186,2023-08-05,Jaqueta Couro M,2,276.96,Dinheiro,Mariana Barbosa,896.383.465-78,Carlos Souza,553.92,8,August,Saturday
391,2023-02-10,Jaqueta Couro M,1,262.15,Cartão de Débito,Rafael Mendes,764.835.030-56,Carlos Souza,262.15,2,February,Friday
14,2023-07-29,Meia Kit C/3,2,25.41,Pix,Eduardo Pinto,164.005.242-78,Roberto Dias,50.82,7,July,Saturday
200,2023-12-02,Blusa de Frio G,1,99.9,Dinheiro,Tatiane Cardoso,543.534.624-75,Ana Lima,99.9,12,December,Saturday
432,2023-01-19,Sandália Rasteira 36,1,50.24,Dinheiro,Lucas Freitas,713.315.098-39,Ana Lima,50.24,1,January,Thursday
492,2023-03-10,Calça Jeans 42,3,125.81,Dinheiro,Aline Nascimento,311.656.670-10,Roberto Dias,377.43,3,March,Friday
323,2023-07-27,Sandália Rasteira 36,2,62.44,Pix,Waldemar Faustino,400.842.710-94,Roberto Dias,124.88,7,July,Thursday
82,2023-02-09,Short Jeans 40,1,79.67,Pix,Lucas Freitas,713.315.098-39,Não identificado,79.67,2,February,Thursday
38,2023-08-21,Tênis Casual 38,1,157.88,Pix,Lidiane Pacheco,036.690.967-05,Ana Lima,157.88,8,August,Monday
15,2023-11-17,Jaqueta Couro M,1,310.15,Cartão de Crédito,Valdinei Faria,905.865.185-06,Ana Lima,310.15,11,November,Friday
474,2023-02-05,Blusa de Frio G,1,89.28,Cartão de Débito,Marcos Teixeira,098.050.097-88,Ana Lima,89.28,2,February,Sunday
434,2023-03-18,Vestido Floral P,1,79.78,Cartão de Crédito,Pedro Costa,351.161.559-40,Fernanda Costa,79.78,3,March,Saturday
371,2023-09-24,Camiseta Básica M,1,52.13,Cartão de Crédito,Carolina Fernandes,449.353.487-40,Roberto Dias,52.13,9,September,Sunday
5,2023-01-19,Blusa de Frio G,1,104.66,Cartão de Débito,Diego Martins,669.784.801-84,Não identificado,104.66,1,January,Thursday
441,2023-05-19,Calça Jeans 42,3,111.73,Cartão de Crédito,Priscila Andrade,586.923.226-02,Roberto Dias,335.19,5,May,Friday
132,2023-10-15,Blusa de Frio G,1,97.84,Pix,Lidiane Pacheco,036.690.967-05,Fernanda Costa,97.84,10,October,Sunday
96,2023-03-23,Blusa de Frio G,1,94.05,Cartão de Crédito,Dilma Couto,379.965.075-27,Carlos Souza,94.05,3,March,Thursday
451,2023-09-30,Vestido Floral P,3,90.7,Cartão de Débito,Glaucia Nogueira,278.895.798-68,Fernanda Costa,272.1,9,September,Saturday
254,2023-11-23,Meia Kit C/3,2,25.53,Cartão de Crédito,Eliandro Mesquita,529.912.419-04,Fernanda Costa,51.06,11,November,Thursday
395,2023-10-14,Calça Jeans 42,4,116.71,Dinheiro,Valdinei Faria,905.865.185-06,Roberto Dias,466.84,10,October,Saturday
161,2023-11-23,Boné Aba Curva,1,48.04,Cartão de Débito,Camila Pereira,287.101.226-91,Roberto Dias,48.04,11,November,Thursday
67,2023-02-16,Boné Aba Curva,1,36.9,Dinheiro,Tatiane Cardoso,543.534.624-75,Ana Lima,36.9,2,February,Thursday
112,2023-03-31,Blusa de Frio G,2,88.64,Cartão de Débito,Vanessa Moreira,473.178.108-01,Fernanda Costa,177.28,3,March,Friday
145,2023-02-12,Blusa de Frio G,4,103.28,Cartão de Crédito,Rosangela Vasconcelos,706.562.729-80,Carlos Souza,413.12,2,February,Sunday
124,2023-07-29,Calça Jeans 42,1,120.35,Dinheiro,Lucas Freitas,713.315.098-39,Roberto Dias,120.35,7,July,Saturday
319,2023-07-07,Short Jeans 40,1,81.78,Pix,Bruno Alves,238.849.696-53,Roberto Dias,81.78,7,July,Friday
93,2023-08-21,Camiseta Básica M,1,51.01,Dinheiro,Rafael Mendes,764.835.030-56,Fernanda Costa,51.01,8,August,Monday
154,2023-06-04,Vestido Floral P,1,82.91,Cartão de Crédito,Rosane Leite,716.572.628-49,Roberto Dias,82.91,6,June,Sunday
321,2023-08-01,Meia Kit C/3,1,25.32,Cartão de Crédito,Natalia Brito,615.951.484-65,Carlos Souza,25.32,8,August,Tuesday
442,2023-02-24,Tênis Casual 38,1,158.28,Pix,Fernanda Lima,727.743.487-34,Fernanda Costa,158.28,2,February,Friday
487,2023-07-09,Camiseta Básica M,1,50.32,Pix,Maria Silva,669.784.801-84,Carlos Souza,50.32,7,July,Sunday
31,2023-03-06,Meia Kit C/3,1,22.33,Cartão de Débito,Waldemar Faustino,400.842.710-94,Carlos Souza,22.33,3,March,Monday
8,2023-04-26,Meia Kit C/ 3,2,24.73,Pix,Patricia Nunes,957.015.430-39,Fernanda Costa,49.46,4,April,Wednesday
482,2023-10-24,Vestido Floral P,3,80.78,Cartão de Débito,Bruno Alves,301.031.051-83,Carlos Souza,242.34,10,October,Tuesday
166,2023-06-19,Short Jeans 40,1,74.82,Cartão de Crédito,Everaldo Medeiros,466.889.373-46,Não identificado,74.82,6,June,Monday
387,2023-01-01,Jaqueta Couro M,4,272.93,Cartão de Crédito,Lucia Ferreira,781.618.495-93,Carlos Souza,1091.72,1,January,Sunday
224,2023-04-01,Jaqueta Couro M,4,256.86,Pix,Maria Silva,104.332.181-96,Fernanda Costa,1027.44,4,April,Saturday
